"Visitor arrivals by country of residence and travel mode (Monthly)","","","","","","","","",""
"","Australia","China, People's Republic of","Japan","Korea, Republic of","Germany","United Kingdom","Canada","United States of America","TOTAL ALL COUNTRIES OF RESIDENCE"
" ","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES"
"2006M09",82404,8106,7602,8253,2919,11718,1995,10458,166383
"2006M10",72072,8338,8976,10186,5126,20064,3520,16742,186010
"2006M11",70070,13618,16654,10582,7766,29348,5214,21670,228866
"2006M12",121160,12792,12636,11440,7852,45448,5694,25064,317616
"2007M01",74676,9576,12236,14028,8400,45668,6496,22624,245868
"2007M02",77993,14927,13340,8510,9545,49105,7245,29210,266087
"2007M03",85698,8878,13179,9752,6095,33833,5520,24012,238326
"2007M04",78108,10925,8142,8602,2990,19849,3151,17710,192671
"2007M05",57924,7686,6354,6228,1728,11268,1926,11592,140130
"2007M06",63669,6650,7353,7334,1577,9576,1634,14402,144799
"2007M07",76152,7728,8928,8904,3048,13512,2496,13824,172608
"2007M08",78188,9020,9878,5742,2552,12672,2046,10626,164296
"2007M09",84525,8234,8326,6601,2921,11178,1909,10327,167831
"2007M10",71691,9568,7912,7084,4646,18400,3312,16307,179308
"2007M11",75816,13896,15096,8784,7704,26616,5496,21552,227784
"2007M12",125766,13716,10908,7884,8559,41040,6561,23841,315576
"2008M01",80881,10817,10121,10846,8613,42398,7859,25984,252242
"2008M02",85376,15433,11546,7084,10120,50025,9085,31142,279013
"2008M03",92375,10650,11925,6750,6500,36675,6400,25450,250300
"2008M04",73704,11352,7200,6984,2784,17760,3024,14184,179064
"2008M05",58240,8360,6060,6200,1740,11000,2240,10640,140160
"2008M06",64904,5054,7030,6042,1691,9785,1577,12616,142063
"2008M07",77400,6816,8760,8184,3024,13176,2928,14184,174984
"2008M08",79178,6446,9108,6336,2398,11792,2134,10010,161612
"2008M09",82317,5497,6486,4577,3105,10580,2139,9131,156446
"2008M10",71760,6552,6720,5880,5112,17976,3480,14280,173136
"2008M11",77198,11462,8184,4994,7898,24750,5786,21164,218130
"2008M12",132867,13959,9342,5184,9315,39177,6615,23625,320085
